instrument,exchange_count,instrument_id,base_asset,quote_asset,max_leverage,funding_interval,price_tick_size
LINEA,7,LINEA-USDT,LINEA,USDT,10.0,4.0,1e-06
JTOUSDT,7,JTOUSDT,JTO,USDT,75.0,1.0,0.0001
HUMAUSDT,7,HUMAUSDT,HUMA,USDT,25.0,1.0,1e-06
IOUSDT,7,IOUSDT,IO,USDT,50.0,1.0,0.0001
BABYUSDT,7,BABYUSDT,BABY,USDT,50.0,1.0,1e-05
XAUTUSDT,7,XAUTUSDT,XAUT,USDT,75.0,4.0,0.01
AUCTIONUSDT,7,AUCTIONUSDT,AUCTION,USDT,50.0,1.0,0.001
BCHUSD,7,BCHUSD_PERP,BCH,USD,20.0,8.0,0.01
JASMYUSDT,7,JASMYUSDT,JASMY,USDT,75.0,1.0,1e-06
KITEUSDT,7,KITEUSDT,KITE,USDT,10.0,1.0,1e-05
VVVUSDT,7,VVVUSDT,VVV,USDT,25.0,1.0,0.001
BANUSDT,7,BANUSDT,BAN,USDT,50.0,1.0,1e-05
KASUSDT,7,KASUSDT,KAS,USDT,75.0,1.0,1e-05
ICPUSDT,7,ICPUSDT,ICP,USDT,75.0,1.0,0.001
0GUSDT,7,0GUSDT,0G,USDT,50.0,1.0,0.0001
GRASSUSDT,7,GRASSUSDT,GRASS,USDT,75.0,1.0,0.0001
ZKUSDT,7,ZKUSDT,ZK,USDT,50.0,1.0,1e-05
GOAT,7,GOAT-USDT,GOAT,USDT,10.0,4.0,1e-05
IMX,7,IMX-USDT,IMX,USDT,5.0,4.0,0.0001
GRT,7,GRT-USDT,GRT,USDT,200.0,8.0,1e-05
ZORAUSDT,7,ZORAUSDT,ZORA,USDT,75.0,4.0,1e-05
INIT,7,INIT-USDT,INIT,USDT,5.0,4.0,1e-05
ATOMUSDT,7,ATOMUSDT,ATOM,USDT,75.0,8.0,0.001
AVNTUSDT,7,AVNTUSDT,AVNT,USDT,50.0,4.0,0.0001
ANKRUSDT,6,ANKRUSDT,ANKR,USDT,50.0,4.0,1e-06
ENSOUSDT,6,ENSOUSDT,ENSO,USDT,50.0,1.0,0.0001
AIGENSYNUSDT,6,AIGENSYNUSDT,AIGENSYN,USDT,25.0,1.0,1e-05
